# Mainboard_Pib.txt — บทปิ๊บ มินิเกม Core Part Mainboard + CPU
# ฟอร์แมต  ชื่อตัวละคร,ข้อความ   (คอมมาเดียวเท่านั้นต่อบรรทัด)

# @INSPECT_FINS
ปิ๊บ,ห้ามกดเด็ดขาดนะ ถ้ามันไม่ลงแปลว่าหันผิด กดไปขาซ็อกเก็ตพับ แล้วแก้ไม่ได้อีกเลย

# @SEAT_CPU_WRONG_ROTATION
ปิ๊บ,มันเอียงค้างอยู่นะ แปลว่ายังหันไม่ถูกทาง ลองหมุนดูใหม่

# @SEAT_CPU_FORCED
ปิ๊บ,โอ๊ย ขาในซ็อกเก็ตพับไปแล้ว อันนี้ของจริงคือต้องเปลี่ยนเมนบอร์ดเลยนะ
ปิ๊บ,จำไว้นะขม แรงไม่เคยช่วยอะไรในงานคอม ถ้าต้องออกแรงแปลว่าทำผิดทาง

# @SEAT_CPU_TOUCH_PINS
ปิ๊บ,จับที่ขอบข้างนะ อย่าเอานิ้วแตะผิวด้านบนหรือขาทองด้านล่าง

# @PASTE_TYPE_GOOD
ปิ๊บ,ถูกแล้ว ซิลิโคนนำความร้อนธรรมดานี่แหละ ปลอดภัยที่สุดสำหรับงานร้าน

# @PASTE_TYPE_LIQUID_METAL
ปิ๊บ,โลหะเหลวนำความร้อนดีกว่าจริง แต่มันนำไฟฟ้าด้วยนะ
ปิ๊บ,หยดเดียวไหลลงไปโดนขาเมนบอร์ดคือจบเลย งานร้านเราไม่เสี่ยงดีกว่า

# @PASTE_TYPE_GLUE
ปิ๊บ,กาวเนี่ยนะ ติดแล้วถอดไม่ออกอีกเลยนะขม ครั้งหน้าใครจะซ่อมต่อก็ทำอะไรไม่ได้

# @PASTE_TYPE_TOOTHPASTE
ปิ๊บ,มีคนทำจริงนะเรื่องนี้ แต่ยาสีฟันแห้งกรอบภายในสองสัปดาห์แล้วก็ไม่เหลืออะไรเลย

# @PASTE_AMOUNT_OK
ปิ๊บ,เท่าเม็ดถั่วเขียวเม็ดเดียวตรงกลางพอ
ปิ๊บ,ไม่ต้องเกลี่ยนะ พอกดฮีตซิงก์ลงไปมันจะแผ่เองสม่ำเสมอกว่าที่เราป้าย
ปิ๊บ,ถ้าเกลี่ยเองจะมีฟองอากาศแทรก กลายเป็นฉนวนเสียเอง

# @PASTE_AMOUNT_LITTLE
ปิ๊บ,น้อยไปนิดนะ มุมของ CPU อาจจะมีช่องว่างเหลืออยู่

# @PASTE_AMOUNT_MUCH
ปิ๊บ,เยอะเกินแล้ว เดี๋ยวมันจะล้นออกข้างไปเลอะซ็อกเก็ต ต้องมาเช็ดกันใหม่

# @MOUNT
ปิ๊บ,ขันแบบทแยงมุมนะ หนึ่งแล้วข้ามไปสาม แล้วค่อยสองกับสี่
ปิ๊บ,ขันหลวม ๆ ให้ครบสี่ตัวก่อน แล้วค่อยไล่ขันแน่น แรงกดจะได้เท่ากันทั้งแผ่น

# @MOUNT_WRONG_ORDER
ปิ๊บ,ขันไล่รอบแบบนั้นฮีตซิงก์จะเอียงนิดนึงนะ ความร้อนออกได้ไม่เต็มที่

# @VERIFY_GOOD
ปิ๊บ,อุณหภูมิลงมาอยู่ในเกณฑ์แล้ว เครื่องนี้เล่นเกมได้ยาว ๆ แล้วล่ะ

# @VERIFY_HOT
ปิ๊บ,ยังร้อนกว่าที่ควรอยู่นะ ลองย้อนไปดูซิลิโคนกับลำดับการขันน็อตอีกที

# @SUMMARY
ปิ๊บ,สรุปนะ ความร้อนเป็นศัตรูอันดับหนึ่งของคอม
ปิ๊บ,และซิลิโคนคือของสิ้นเปลืองที่ต้องเปลี่ยนทุกสองถึงสามปี ไม่ใช่ทาครั้งเดียวจบ
